         40509565 function calls (40497793 primitive calls) in 14.418 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1227/903    0.003    0.000    0.020    0.000 inspect.py:2173(_signature_from_callable)
       17    0.005    0.000    0.020    0.001 {built-in method repaint}
       11    0.000    0.000    0.019    0.002 artist.py:1508(kwdoc)
      660    0.002    0.000    0.019    0.000 markers.py:199(_recache)
      108    0.001    0.000    0.019    0.000 _distn_infrastructure.py:626(_construct_argparser)
       36    0.000    0.000    0.019    0.001 backend_qt5.py:303(mouseMoveEvent)
       24    0.000    0.000    0.019    0.001 __init__.py:1137(rc_params_from_file)
       36    0.000    0.000    0.018    0.001 backend_bases.py:1943(motion_notify_event)
        2    0.000    0.000    0.018    0.009 __init__.py:45(<module>)
       19    0.001    0.000    0.018    0.001 backend_qt5agg.py:76(paintEvent)
        1    0.000    0.000    0.017    0.017 collections.py:10(<module>)
        1    0.000    0.000    0.017    0.017 core.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _savitzky_golay.py:1(<module>)
      470    0.017    0.000    0.017    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.017    0.017 __init__.py:127(<module>)
       11    0.000    0.000    0.017    0.002 artist.py:1226(pprint_setters)
        1    0.000    0.000    0.016    0.016 core.py:155(load_base_library)
        1    0.000    0.000    0.016    0.016 core.py:187(read_style_directory)
       24    0.003    0.000    0.016    0.001 __init__.py:1060(_rc_params_in_file)
        1    0.000    0.000    0.016    0.016 __init__.py:89(<module>)
        1    0.000    0.000    0.016    0.016 pyparsing.py:5377(pyparsing_common)
      469    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.015    0.015 __init__.py:220(<module>)
        4    0.000    0.000    0.015    0.004 axis.py:1317(get_major_ticks)
        4    0.000    0.000    0.015    0.004 spines.py:166(cla)
      331    0.001    0.000    0.014    0.000 _util.py:269(getargspec_no_self)
        1    0.000    0.000    0.014    0.014 __init__.py:109(<module>)
     1457    0.001    0.000    0.013    0.000 __init__.py:909(__setitem__)
        1    0.008    0.008    0.013    0.013 backend_qt5.py:458(__init__)
        1    0.000    0.000    0.013    0.013 filters.py:31(<module>)
       11    0.002    0.000    0.013    0.001 artist.py:1145(_get_setters_and_targets)
      903    0.006    0.000    0.013    0.000 inspect.py:2092(_signature_from_function)
      115    0.000    0.000    0.013    0.000 sre_parse.py:844(parse)
       38    0.000    0.000    0.013    0.000 backend_bases.py:1552(__init__)
        1    0.000    0.000    0.012    0.012 _base.py:620(_init_axis)
       38    0.000    0.000    0.012    0.000 backend_bases.py:1441(__init__)
      370    0.000    0.000    0.012    0.000 inspect.py:3031(signature)
      115    0.000    0.000    0.012    0.000 sre_compile.py:542(_code)
      370    0.000    0.000    0.012    0.000 inspect.py:2779(from_callable)
      533    0.003    0.000    0.012    0.000 inspect.py:1079(getfullargspec)
      317    0.007    0.000    0.012    0.000 doccer.py:128(indentcount_lines)
        1    0.000    0.000    0.012    0.012 _internal.py:6(<module>)
       10    0.000    0.000    0.011    0.001 pyparsing.py:4229(__init__)
    33/10    0.000    0.000    0.011    0.001 pyparsing.py:3721(leaveWhitespace)
        1    0.000    0.000    0.011    0.011 artist.py:1(<module>)
  272/115    0.001    0.000    0.011    0.000 sre_parse.py:407(_parse_sub)
      330    0.001    0.000    0.011    0.000 markers.py:248(set_marker)
        1    0.000    0.000    0.011    0.011 decorators.py:15(<module>)
        2    0.000    0.000    0.011    0.005 __init__.py:15(<module>)
  323/124    0.004    0.000    0.011    0.000 sre_parse.py:470(_parse)
